id,name_bg,name_en,category,event_ids,person_ids,place_ids,source_ids,editorial_status
org-plovdiv-municipality,Община Пловдив,Plovdiv Municipality,municipality,event-mayor-01-atanas-samokovliev|event-mayor-02-kostaki-peev|event-mayor-03-ivan-stefanov-geshov|event-mayor-04-d-r-sotir-antoniadi|event-mayor-05-petko-karavelov|event-mayor-06-hafuz-ahmed-efendi|event-mayor-07-kostaki-peev|event-mayor-08-hristo-dyukmedzhiev|event-mayor-09-dimitr-sveshtarov|event-mayor-10-stefan-kalchev|event-mayor-11-angel-semerdzhiev|event-mayor-12-konstantin-hadzhikalchov|event-mayor-13-mancho-manev|event-mayor-14-nikola-chalkov|event-mayor-15-mihail-madzharov|event-mayor-16-danail-yurukov|event-mayor-17-hristo-g-danov|event-finance-1897-bnb-refinance-loan|event-finance-1898-actual-revenue|event-finance-1898-planned-budget|event-finance-1899-actual-revenue|event-mayor-18-nikola-chalkov|event-mayor-19-dragan-manchov|event-mayor-20-d-r-hristo-tanchev|event-mayor-21-georgi-dzhevizov|event-mayor-22-hristo-milev|event-mayor-23-nikola-chalkov|event-mayor-24-vlko-shopov|event-mayor-25-d-r-ivan-kesyakov|event-mayor-26-georgi-dzhevizov|event-mayor-27-nikola-kozarev|event-mayor-28-deno-manev|event-programme-1916-charity-committee|event-mayor-29-milosh-danov|event-mayor-30-stefan-gevgalov|event-mayor-31-hristo-pavlov|event-mayor-32-hariton-kuev|event-mayor-33-nikola-glbov|event-mayor-34-panayot-mutafchiev|event-mayor-35-petr-shilev|event-mayor-36-d-r-ivan-kesyakov|event-mayor-37-petr-yankov|event-mayor-38-ivan-stanchev|event-mayor-39-petr-drenski|event-mayor-40-d-r-panayot-kostov|event-mayor-41-milosh-danov|event-mayor-42-enyu-manolov|event-programme-1932-school-building-gap|event-mayor-43-bozhidar-zdravkov|event-programme-1932-childcare-and-social-care|event-governance-1934-municipal-reform|event-mayor-44-georgi-todorov|event-mayor-45-bozhidar-zdravkov|event-mayor-46-petr-malchev|event-finance-1940-regular-budget|event-programme-1940-war-budget-priorities|event-mayor-47-dimitr-kostov|event-finance-1944-war-damage-relief|event-governance-1944-front-transition|event-mayor-48-d-r-asen-kozhuharov|event-programme-1945-postwar-public-works|event-finance-1945-university-establishment|event-mayor-49-ivan-perpeliev|event-finance-1946-horemag-enterprise|event-programme-1947-fair-revival|event-mayor-50-nikola-balkandzhiev|event-mayor-51-atanas-kostov|event-mayor-52-ivan-dimitrov|event-mayor-53-ivan-panev|event-mayor-54-kosta-kumanov|event-programme-1969-old-plovdiv-restoration|event-programme-1970-five-year-city-plan|event-mayor-55-diran-parikyan|event-mayor-56-hristo-mishev|event-mayor-57-dimitr-bakalov|event-mayor-58-todor-petkov|event-mayor-59-nikolay-somlev|event-mayor-60-d-r-garabed-tomasyan|event-mayor-61-spas-grnevski|event-mayor-62-d-r-ivan-chomakov|event-governance-2001-development-plans|event-programme-2002-hospital-waste-incinerator|event-programme-2007-state-infrastructure-credits|event-mayor-63-slavcho-atanasov|event-programme-2007-2013-capital-investment|event-programme-2007-2013-eu-operational-projects|event-programme-2008-draft-budget-capital-priorities|event-programme-2009-state-beautification-subsidy|event-programme-2009-waste-linked-infrastructure|event-governance-2010-property-management-programme|event-programme-2010-waste-infrastructure-extra-credits|event-programme-2010-gifted-children-support|event-mayor-64-inzh-ivan-totev|event-programme-2012-waste-infrastructure-final-transfer|event-mayor-65-zdravko-dimitrov|event-mayor-68-kostadin-dimitrov,person-angel-semerdzhiev|person-atanas-kostov|person-atanas-samokovliev|person-bozhidar-zdravkov|person-valko-shopov|person-georgi-dzhevizov|person-georgi-todorov|person-d-r-asen-kozhuharov|person-d-r-garabed-tomasyan|person-d-r-ivan-kesyakov|person-d-r-ivan-chomakov|person-d-r-panayot-kostov|person-d-r-sotir-antoniadi|person-d-r-hristo-tanchev|person-danail-yurukov|person-deno-manev|person-dimitar-bakalov|person-dimitar-kostov|person-dimitar-sveshtarov|person-diran-parikyan|person-dragan-manchov|person-enyu-manolov|person-zdravko-dimitrov|person-ivan-dimitrov|person-ivan-panev|person-ivan-perpeliev|person-ivan-stanchev|person-ivan-stefanov-geshov|person-inzh-ivan-totev|person-konstantin-hadzhikalchov|person-kosta-kumanov|person-kostadin-dimitrov|person-kostaki-peev|person-mancho-manev|person-milosh-danov|person-mihail-madzharov|person-nikola-balkandzhiev|person-nikola-galabov|person-nikola-kozarev|person-nikola-chalakov|person-nikolay-somlev|person-panayot-mutafchiev|person-petko-karavelov|person-petar-drenski|person-petar-malchev|person-petar-shilev|person-petar-yanakov|person-slavcho-atanasov|person-spas-garnevski|person-stefan-gevgalov|person-stefan-kalchev|person-todor-petkov|person-hariton-kuev|person-hafuz-ahmed-efendi|person-hristo-g-danov|person-hristo-dyukmedzhiev|person-hristo-milev|person-hristo-mishev|person-hristo-pavlov,place-ancient-stadium|place-old-town|place-plovdiv-city,source-plovdiv-mayor-archive,needs_editorial_signoff
org-plovdiv-municipal-council,Общински съвет — Пловдив,Plovdiv Municipal Council,public_institution,event-governance-1934-municipal-reform|event-programme-1947-fair-revival|event-programme-1969-old-plovdiv-restoration|event-programme-2007-state-infrastructure-credits|event-finance-2009-adopted-budget|event-programme-2009-state-beautification-subsidy|event-programme-2009-waste-linked-infrastructure|event-governance-2010-property-management-programme|event-programme-2010-culture-house-reallocation|event-programme-2010-waste-infrastructure-extra-credits|event-programme-2010-gifted-children-support|event-programme-2012-waste-infrastructure-final-transfer|event-programme-2012-waste-infrastructure-object-list|event-event-2014-ecoc-candidacy-budget|event-event-2018-ecoc-implementation-budget,,place-ancient-stadium|place-old-town|place-plovdiv-city,source-plovdiv-obs,needs_editorial_signoff
org-regional-history-museum-plovdiv,Регионален исторически музей — Пловдив,Regional History Museum — Plovdiv,museum,event-roman-trimontium|event-roman-theatre|event-finance-1897-bnb-refinance-loan|event-finance-1898-actual-revenue|event-finance-1898-planned-budget|event-finance-1899-actual-revenue|event-programme-1916-charity-committee|event-programme-1932-school-building-gap|event-programme-1932-childcare-and-social-care|event-governance-1934-municipal-reform|event-finance-1940-regular-budget|event-programme-1940-war-budget-priorities|event-finance-1944-war-damage-relief|event-governance-1944-front-transition|event-programme-1945-postwar-public-works|event-finance-1945-university-establishment|event-finance-1946-horemag-enterprise|event-programme-1947-fair-revival|event-programme-1969-old-plovdiv-restoration|event-programme-1970-five-year-city-plan,,place-ancient-theatre|place-old-town|place-seven-hills|place-plovdiv-city,source-rim-plovdiv-municipality-1886-1944,needs_editorial_signoff
org-international-fair-plovdiv,Международен панаир Пловдив,International Fair Plovdiv,cultural_economic_institution,event-event-1892-first-exposition|event-fair-1892|event-programme-1947-fair-revival|event-programme-1970-five-year-city-plan,,place-plovdiv-city,source-international-fair-plovdiv-1892,needs_editorial_signoff
org-plovdiv-2019-foundation,Фондация Пловдив 2019,Plovdiv 2019 Foundation,cultural_institution,event-event-1999-month-of-culture|event-event-1999-month-of-culture-scale|event-programme-2009-state-beautification-subsidy|event-programme-2010-culture-house-reallocation|event-event-2014-ecoc-candidacy-budget|event-event-2018-ecoc-implementation-budget|event-capital-of-culture-2019|event-event-2019-european-capital-of-culture,,place-ancient-theatre|place-seven-hills|place-plovdiv-city,source-plovdiv-2019-official,needs_editorial_signoff
org-sdruzhenie-dokazhi-che-mozhesh,"Сдружение „Докажи, че можеш“","Dokazhi, che mozhesh Association",civic_association,,,,source-plovdiv24-dobrovoltsi-se-zaemat-s-renoviraneto-na-spirki,needs_editorial_signoff
org-sdruzhenie-bg-badi-aktiven,Сдружение BG Бъди активен,BG Be Active Association,civic_association,,,,source-plovdiv24-tarsyat-se-dobrovoltsi-za-pochistvane-na-11-km-ot-reka-maritsa,needs_editorial_signoff
org-krasiv-plovdiv,Красив Пловдив,Krasiv Plovdiv,civic_citizen_group,,,,source-krasiv-plovdiv-budni-grazhdani-s-kauza,needs_editorial_signoff
org-misiya-lauta-rayon-trakiya-i-grazhdani,„Мисия Лаута“ / район „Тракия“ и граждани,Mission Lauta / Trakiya district and citizens,civic_municipal_partner,,,,source-obshtina-plovdiv-misiya-lauta-5,needs_editorial_signoff
org-fondatsiya-roma-plovdiv-i-mestni-dobrovoltsi,Фондация „Рома-Пловдив“ и местни доброволци,Roma-Plovdiv Foundation and local volunteers,civic_foundation,,,,source-bnt-pochistvat-kvartal-stolipinovo,needs_editorial_signoff
org-sdruzhenie-zeleni-balkani,Сдружение „Зелени Балкани“,Green Balkans NGO,civic_association,,,,source-zeleni-balkani-ofitsialen-sayt,needs_editorial_signoff
org-koloezdachi-velosipedisti-v-plovdiv-obshtnost,Колоездачи / велосипедисти в Пловдив (общност),Plovdiv cyclists (community),civic_citizen_group,,,,source-facebook-koloezdachi-velosipedisti-v-plovdiv,needs_editorial_signoff
